species,file,n,aba_obs,aba_z,aba_p,tail_obs,tail_z,tail_p,bound_rho,bound_z,bound_p,clade,learning_category
Menura_novaehollandiae,XC1172718_-_Superb_Lyrebird_-_,100,,-0.9569498214750533,0.8540729635182409,,4.6594919680779485,0.0004997501249375,,-2.59948236887574,0.9975012493753124,bird,production_learner
Menura_novaehollandiae,XC1163856_-_Superb_Lyrebird_-_,68,,-0.293071038970448,0.6451774112943528,,3.2642502260951898,0.0014992503748125,,-0.6165307270401872,0.7311344327836082,bird,production_learner
Forpus_passerinus,1788443928158_17B102A_BN6_5_08,1051,,-6.529371465584262,1.0,,5.689814979510028,0.0004997501249375,,-1.6267826268690546,0.944527736131934,bird,production_learner
Forpus_passerinus,1788443928159_17B31A_BN3_2_102,875,,-8.156311381629045,1.0,,9.15758485673732,0.0004997501249375,,0.6750057941247769,0.2448775612193903,bird,production_learner
Forpus_passerinus,1788443928159_17B32A_BN5_12_08,483,,-7.880008679997554,1.0,,11.558530220612546,0.0004997501249375,,0.4399029047708752,0.3273363318340829,bird,production_learner
Forpus_passerinus,1788443928159_17B31A_BN2_26_10,456,,0.0391590791671114,0.4977511244377811,,2.0255488930499945,0.0264867566216891,,-0.7855410391325485,0.7906046976511744,bird,production_learner
Phaethornis_longirostris,1788448182026_0_SUR_2012_1_20_,514,,-7.284445717422662,1.0,,21.989236667262315,0.0004997501249375,,2.952076225432966,0.0004997501249375,bird,production_learner
Phaethornis_longirostris,1788448182025_0_LOC_2011_7_29_,504,,-6.064412065649112,1.0,,10.950895208794044,0.0004997501249375,,7.271713286596665,0.0004997501249375,bird,production_learner
Phaethornis_longirostris,1788448182027_0_LOC_2011_7_29_,429,,-4.18507693175365,1.0,,7.123448395220047,0.0004997501249375,,4.857569328594008,0.0004997501249375,bird,production_learner
Phaethornis_longirostris,1788448182026_0_SUR_2010_5_21_,426,,-1.019150248311384,0.862568715642179,,21.648088910134263,0.0004997501249375,,2.6410337317732,0.0029985007496251,bird,production_learner
Turdus_merula,XC310974_-_Common_Blackbird_-_,28,,-0.7628830887737637,0.8275862068965517,,-0.0430223541754524,0.5687156421789106,,0.9188912382169122,0.1889055472263868,bird,usage_learner
Turdus_merula,XC382840_-_Common_Blackbird_-_,24,,0.1389364646488499,0.5172413793103449,,-0.1460871773714747,0.6216891554222889,,-1.2597308947770007,0.8930534732633684,bird,usage_learner
Turdus_merula,XC960501_-_Common_Blackbird_-_,22,,-0.7402358293033849,0.8285857071464268,,1.4594535737226626,0.1169415292353823,,-0.7350134367236729,0.7551224387806097,bird,usage_learner
