file,species,onset,offset
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.066625,3.076625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.09075,3.100875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.11475,3.118625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.137375,3.1445
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.190875,3.208875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.317125,3.3205
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.368125,3.37425
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.416125,3.436375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.4705,3.47725
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.564375,3.579125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.641625,3.660125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.69875,3.705625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.72225,3.7305
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.7735,3.795
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.80975,3.818125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.861125,3.876
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.911,3.922375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.962875,3.966125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.979625,3.98275
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.99275,4.15225
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.173875,4.1815
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.198625,4.206625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.282125,4.286125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.3015,4.315
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.426125,4.4285
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.50625,4.515125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.54475,4.54675
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.564,4.569625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.618375,4.623125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.652625,4.662375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.693,4.697875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.72875,4.7365
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.75225,4.759875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.7885,4.796
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.813,4.95225
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,4.979125,4.985625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.0835,5.090875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.197,5.214875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.306125,5.32425
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.4235,5.431875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.511875,5.5255
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.617625,5.623125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.6595,5.67225
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.72525,5.734125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.79375,5.802
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.867625,5.871875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.91425,5.918
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,5.937375,5.967125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.029625,6.038375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.163625,6.1735
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.188,6.19675
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.265,6.274
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.4255,6.4355
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.452875,6.46275
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.547875,6.557
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.687,6.69575
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.77475,6.78025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,6.911625,6.9405
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.019875,7.02175
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.1035,7.10775
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.17475,7.1795
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.25875,7.263375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.3805,7.39025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.42025,7.4295
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.660375,7.669
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.741,7.751375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.893625,7.90725
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,7.982875,7.99025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.169875,8.177
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.206625,8.215625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.23275,8.2385
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.290375,8.29875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.4925,8.501125
